Date,Open,High,Low,Close,Adj Close,Volume
2016-05-04,277.000000,279.000000,273.000000,273.500000,265.164612,13929
2016-05-05,279.000000,287.000000,279.000000,282.500000,273.890320,107871
2016-05-06,280.000000,287.000000,280.000000,283.500000,274.859833,47734
2016-05-09,281.000000,284.000000,277.000000,280.000000,271.466522,57869
2016-05-10,280.000000,284.500000,280.000000,284.500000,275.829346,62361
2016-05-11,280.000000,291.799988,280.000000,291.500000,282.616028,71696
2016-05-12,291.500000,297.399994,290.000000,293.500000,284.555084,105327
2016-05-13,293.000000,293.000000,283.000000,285.000000,276.314117,100583
2016-05-16,284.000000,290.500000,284.000000,289.000000,280.192200,45233
2016-05-17,285.500000,293.000000,285.500000,291.000000,282.131256,54357
2016-05-18,291.000000,297.000000,290.000000,292.000000,283.100739,84885
2016-05-19,289.000000,289.000000,283.000000,288.299988,279.513519,50468
2016-05-20,290.000000,293.000000,289.500000,290.000000,281.161743,78398
2016-05-23,288.000000,292.899994,288.000000,291.000000,282.131256,44897
2016-05-24,291.000000,296.000000,290.000000,294.000000,285.039856,76230
2016-05-26,295.000000,303.000000,295.000000,303.000000,293.765564,82590
2016-05-27,302.000000,304.899994,297.500000,300.000000,290.856964,81471
2016-05-30,298.000000,298.000000,293.500000,294.500000,285.524628,14892
2016-05-31,294.600006,298.899994,290.000000,291.600006,282.712952,83221
2016-06-01,288.000000,293.000000,284.000000,293.000000,284.070313,33240
2016-06-02,292.000000,297.500000,289.000000,296.000000,286.978851,55399
2016-06-03,291.100006,296.000000,290.700012,293.000000,284.070313,21629
2016-06-06,293.000000,297.000000,291.000000,294.000000,285.039856,63525
2016-06-07,295.000000,303.500000,295.000000,301.000000,291.826477,96292
2016-06-08,303.000000,306.500000,303.000000,303.000000,293.765564,110103
2016-06-09,303.000000,303.000000,298.000000,299.100006,289.984406,28156
2016-06-10,298.500000,298.500000,289.000000,290.500000,281.646484,32442
2016-06-13,290.000000,293.000000,281.500000,281.500000,272.920807,39905
2016-06-14,282.000000,283.600006,273.100006,277.000000,268.557922,56344
2016-06-15,278.000000,278.000000,272.100006,273.000000,264.679840,63751
2016-06-16,273.100006,273.500000,265.000000,273.500000,265.164612,61996
2016-06-17,null,null,null,null,null,null
2016-06-21,280.100006,287.000000,279.000000,285.000000,276.314117,42931
2016-06-22,290.200012,291.000000,285.000000,285.000000,276.314117,61976
2016-06-23,288.000000,294.000000,287.000000,294.000000,285.039856,69030
2016-06-24,279.000000,289.899994,275.000000,288.000000,279.222687,311155
2016-06-27,283.000000,285.000000,275.500000,280.000000,271.466522,155069
2016-06-28,286.500000,291.000000,283.100006,290.000000,281.161743,60773
2016-06-29,295.000000,298.000000,291.100006,295.000000,286.009369,48205
2016-06-30,296.000000,296.000000,287.000000,289.000000,280.192200,72201
2016-07-01,289.000000,296.250000,289.000000,296.250000,287.221252,90287
2016-07-04,289.000000,299.000000,289.000000,294.950012,288.159180,31610
2016-07-05,293.000000,293.000000,283.000000,285.500000,278.926727,32788
2016-07-06,288.000000,288.000000,281.000000,283.500000,276.972748,38318
2016-07-07,287.000000,287.500000,280.000000,282.500000,275.995789,68911
2016-07-11,285.000000,286.000000,281.799988,283.500000,276.972748,62587
2016-07-12,286.200012,291.000000,286.200012,288.000000,281.369171,44732
2016-07-13,288.000000,288.000000,281.500000,285.000000,278.438232,61436
2016-07-14,287.000000,289.500000,285.000000,285.600006,279.024414,47839
2016-07-15,282.500000,289.000000,282.500000,287.000000,280.392181,42317
2016-07-18,287.000000,288.500000,283.100006,288.000000,281.369171,68535
2016-07-19,288.100006,288.100006,278.500000,279.000000,272.576385,69502
2016-07-20,280.000000,290.500000,276.000000,290.500000,283.811584,96141
2016-07-21,292.000000,292.000000,283.000000,284.950012,278.389404,47501
2016-07-22,285.000000,285.000000,280.000000,284.000000,277.461273,56075
2016-07-25,283.000000,283.950012,274.500000,275.000000,268.668488,85104
2016-07-26,277.899994,278.000000,273.299988,275.250000,268.912720,74447
2016-07-27,276.000000,277.000000,270.000000,271.500000,265.249054,64987
2016-07-28,272.350006,276.250000,271.000000,272.250000,265.981781,42186
2016-07-29,273.000000,281.000000,272.000000,280.750000,274.286072,105236
2016-08-01,276.000000,277.000000,269.100006,272.000000,265.737518,41121
2016-08-02,275.000000,275.000000,269.000000,271.000000,264.760559,45356
2016-08-03,271.399994,283.500000,271.399994,282.100006,275.605011,60819
2016-08-04,283.000000,285.000000,280.000000,284.500000,277.949738,68708
2016-08-05,283.000000,283.000000,272.000000,272.000000,265.737518,69514
2016-08-08,272.600006,276.000000,269.000000,269.000000,262.806610,67233
2016-08-09,269.500000,274.000000,269.500000,272.299988,266.030640,80694
2016-08-10,272.000000,275.000000,268.000000,269.899994,263.685883,65176
2016-08-11,268.500000,272.899994,268.500000,271.000000,264.760559,85366
2016-08-12,270.000000,272.000000,268.500000,270.000000,263.783569,130820
2016-08-16,270.000000,274.000000,265.200012,265.200012,259.094116,94996
2016-08-17,264.000000,267.500000,260.000000,267.000000,260.852692,33060
2016-08-18,267.000000,272.000000,266.549988,270.500000,264.272095,120988
2016-08-19,268.500000,270.000000,265.750000,267.000000,260.852692,27151
2016-08-22,267.000000,268.000000,260.000000,260.000000,254.013824,51401
2016-08-23,263.000000,265.950012,262.000000,263.000000,256.944763,49016
